Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved LH,Rank TPM
NMAR_RS01625,Nmar_0305,hypothetical protein,-0.12,0.693145518,31.51573533,48.06493293,4.87,5.566137307,76G-FAM008206,Thaumi_prot_LH_FAM000903,N,Y,NM,NM,714
NMAR_RS00400,Nmar_0077,translation initiation factor IF-2 subunit alpha,-0.12,0.763786814,11.73051218,19.54488619,3.52,4.263799877,76G-FAM000626,Thaumi_prot_LH_FAM001120,Y,N,NV+NF+NM,NV+NF+NM,1217
NMAR_RS08775,Nmar_1642,DUF58 domain-containing protein,-0.12,0.795745108,4.539586805,7.595857485,2.15,2.84164124,76G-FAM008946,Thaumi_prot_LH_FAM000030,N,Y,NM,NM,1617
NMAR_RS02100,Nmar_0391,50S ribosomal protein L32e,-0.12,0.456693114,146.5781279,233.7745961,7.15,7.857765454,76G-FAM000617,Thaumi_prot_LH_FAM000215,N,N,NV+NF+NM,NV+NF+NM,239
NMAR_RS08425,Nmar_1573,glutamine-hydrolyzing GMP synthase,-0.12,0.481545649,22.02526794,33.54587634,4.39,5.060399099,76G-FAM000961,Thaumi_prot_LH_FAM001162,N,N,NV+NF+NM,NV+NF+NM,860
NMAR_RS00760,Nmar_0147,hypothetical protein,-0.12,0.887710208,0.963454278,1.623980116,-0.1,0.56038852,76G-FAM028427,Thaumi_prot_LH_FAM006541,N,Y,NM,NM,1913
NMAR_RS09525,Nmar_R0043,tRNA-Pro,-0.12,0.976383958,0,0,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,NA,1972
NMAR_RS05180,Nmar_0967,cysteine--tRNA ligase,-0.12,0.802500775,3.723052764,6.769433514,1.76,2.719475893,76G-FAM000730,Thaumi_prot_LH_FAM000731,N,N,NV+NF+NM,NV+NF+NM,1673
NMAR_RS07050,Nmar_1318,twin-arginine translocase TatA/TatE family subunit,-0.12,0.763786814,12.53924331,20.76870147,3.59,4.314375078,76G-FAM000565_0,Thaumi_prot_LH_FAM000104,Y,N,NV+NF+NM,NV+NF+NM,1175
NMAR_RS08695,Nmar_1625,ribosome biogenesis protein,-0.12,0.859550008,2.353448182,3.76520795,1.21,1.825039256,76G-FAM000028,Thaumi_prot_LH_FAM000992,N,N,NV+NF+NM,NV+NF+NM,1800
NMAR_RS00650,Nmar_0125,"dTDP-glucose 4,6-dehydratase",-0.12,0.845853144,3.328003427,6.068416691,1.62,2.493388936,76G-FAM000004_0,Thaumi_prot_LH_FAM000555,N,N,NV+NF+NM,NV+NF+NM,1710
NMAR_RS04495,Nmar_0841,thiolase family protein,-0.12,0.698489484,9.122665933,13.64029377,3.13,3.76332692,76G-FAM000433_0,Thaumi_prot_LH_FAM000385,Y,N,NV+NF+NM,NV+NF+NM,1350
NMAR_RS00405,Nmar_0078,"cob(I)yrinic acid a,c-diamide adenosyltransferase",-0.12,0.783860389,6.763019716,10.35745579,2.74,3.36254459,76G-FAM003036,Thaumi_prot_LH_FAM001119,Y,N,NV+NF+NM,NV+NF+NM,1479
NMAR_RS06645,Nmar_1237,carboxylating nicotinate-nucleotide diphosphorylase,-0.12,0.817450379,6.815540583,8.183463714,2.49,2.885194573,76G-FAM000534,Thaumi_prot_LH_FAM000527,Y,N,NV+NF+NM,NV+NF+NM,1475
NMAR_RS06735,Nmar_1255,hypothetical protein,-0.12,0.755693382,11.12233929,15.88063033,3.25,3.977757759,76G-FAM008460,Thaumi_prot_LH_FAM002075,N,Y,NM,NM,1249
NMAR_RS04880,Nmar_0911,anthranilate synthase component I family protein,-0.12,0.655385382,8.300693717,12.13761999,3.02,3.571447818,76G-FAM000929,Thaumi_prot_LH_FAM000691,Y,N,NV+NF+NM,NV+NF+NM,1393
NMAR_RS05500,Nmar_1023,cupin domain-containing protein,-0.12,0.906157774,1.889651752,3.229753149,0.37,1.578584177,76G-FAM008405,Thaumi_prot_LH_FAM002028,N,Y,NM,NM,1835
NMAR_RS08185,Nmar_1527,thrombospondin type 3 repeat-containing protein,-0.12,0.412342065,403.1540341,607.7417791,8.61,9.242540032,76G-FAM008113,Thaumi_prot_LH_FAM000908,N,Y,NM,NM,104
NMAR_RS00685,Nmar_0132,DegT/DnrJ/EryC1/StrS family aminotransferase,-0.13,0.760504608,3.61942557,6.218467448,1.78,2.607113835,76G-FAM000725_0,Thaumi_prot_LH_FAM000790,N,N,NV+NF+NM,NV+NF+NM,1684
NMAR_RS07705,Nmar_1441,hypothetical protein,-0.13,0.818038843,3.568128518,5.495912655,1.65,2.361734972,76G-FAM028492,Thaumi_prot_LH_FAM006617,N,Y,NM,NM,1690
NMAR_RS04795,Nmar_0897,hypothetical protein,-0.13,0.612488004,52.42182345,81.55618955,5.66,6.329322065,76G-FAM002530,Thaumi_prot_LH_FAM000822,N,N,NM,NF+NM,517
NMAR_RS08080,Nmar_1506,hypothetical protein,-0.13,0.517475077,5729.11712,8735.879987,12.42,13.07733923,76G-FAM007700,Thaumi_prot_LH_FAM000255,Y,Y,NV+NF+NM,NV+NF+NM,18
NMAR_RS03565,Nmar_0666,phosphoserine phosphatase SerB,-0.13,0.648877378,21.40764765,35.36344297,4.39,5.123208013,76G-FAM002803,Thaumi_prot_LH_FAM000239,Y,N,NV+NF+NM,NV+NF+NM,872
NMAR_RS02070,Nmar_0386,transcription elongation factor Spt5,-0.13,0.609652936,32.82584917,47.69464705,4.96,5.568500309,76G-FAM000979,Thaumi_prot_LH_FAM000220,Y,N,NV+NF+NM,NV+NF+NM,699
NMAR_RS06910,Nmar_1290,[LysW]-aminoadipate/[LysW]-glutamate kinase,-0.13,0.504286703,34.6387364,53.51771518,5.07,5.739344406,76G-FAM000339,Thaumi_prot_LH_FAM000646,Y,N,NV+NF+NM,NV+NF+NM,676
NMAR_RS10060,0,hypothetical protein,-0.13,0.471407337,129.8576472,213.9434897,6.95,7.72492811,#N/A,#N/A,#N/A,#N/A,NA,NA,264
NMAR_RS04530,Nmar_0848,threonine ammonia-lyase,-0.13,0.509349101,50.37407181,77.19578418,5.61,6.268154557,76G-FAM001036,Thaumi_prot_LH_FAM000455,N,N,NV+NF+NM,NV+NF+NM,532
NMAR_RS04155,Nmar_0777,phosphoribosylformylglycinamidine synthase subunit PurS,-0.13,0.824830964,13.54808259,20.22437825,3.63,4.225408139,76G-FAM002062,Thaumi_prot_LH_FAM000228,N,N,NV+NF+NM,NV+NF+NM,1130
NMAR_RS05545,Nmar_1032,RNA polymerase Rbp10,-0.13,0.630636247,92.53115612,136.0023653,6.49,7.057804811,76G-FAM000306,Thaumi_prot_LH_FAM000265,Y,N,NV+NF+NM,NV+NM,339
NMAR_RS08090,Nmar_1508,30S ribosomal protein S15,-0.13,0.50208322,677.1225494,1051.285005,9.35,10.00006588,76G-FAM000235,Thaumi_prot_LH_FAM000068,Y,N,NV+NF+NM,NV+NF+NM,66
NMAR_RS02745,Nmar_0513,hypothetical protein,-0.13,0.889226164,3.381894212,5.281800548,1.55,2.216762364,76G-FAM008233,Thaumi_prot_LH_FAM001889,N,Y,NM,NM,1707
NMAR_RS03900,Nmar_0727,hypothetical protein,-0.13,0.887817558,1.931343894,2.673059273,0.91,1.234625387,76G-FAM008311,Thaumi_prot_LH_FAM001937,N,Y,NM,NM,1833
NMAR_RS08600,Nmar_1608,NAD-dependent succinate-semialdehyde dehydrogenase,-0.13,0.477745985,22.74813571,35.06679517,4.47,5.130010974,76G-FAM000630_0,Thaumi_prot_LH_FAM001603,N,N,NV+NF+NM,NV+NF+NM,844
NMAR_RS01355,Nmar_0256,isocitrate lyase/PEP mutase family protein,-0.13,0.638123401,33.96480259,54.45651211,5.06,5.735250954,76G-FAM000914,Thaumi_prot_LH_FAM000956,Y,N,NV+NF+NM,NV+NF+NM,690
NMAR_RS01850,Nmar_0348,DNA-directed RNA polymerase subunit A',-0.14,0.284563393,149.5029088,232.6443741,7.18,7.852331437,76G-FAM000346,Thaumi_prot_LH_FAM000867,Y,N,NV+NF+NM,NV+NF+NM,232
NMAR_RS09950,Nmar_0998,hypothetical protein,-0.14,0.568569752,79.23272542,128.4312113,6.28,6.993383083,76G-FAM028456,#N/A,N,Y,NM,NA,382
NMAR_RS01435,Nmar_0270,AAA family ATPase,-0.14,0.77901263,5.934185354,8.881375081,2.36,3.141666167,76G-FAM002307,Thaumi_prot_LH_FAM000919,N,N,NV+NF+NM,NV+NF+NM,1531
NMAR_RS07415,Nmar_1383,RNA polymerase Rpb4,-0.14,0.622286998,65.63450627,101.4239227,5.94,6.647394259,76G-FAM000474,Thaumi_prot_LH_FAM000308,Y,N,NV+NF+NM,NV+NF+NM,442
NMAR_RS01545,Nmar_0290,hypothetical protein,-0.14,0.685471987,6.765703294,10.37543914,2.7,3.367992988,76G-FAM008202,Thaumi_prot_LH_FAM000941,N,Y,NV+NM,NV+NM,1478
NMAR_RS01980,Nmar_0368,alanine--tRNA ligase,-0.14,0.644103897,9.626235576,13.44106246,3.07,3.741594005,76G-FAM000638,Thaumi_prot_LH_FAM000674,Y,N,NV+NF+NM,NV+NF+NM,1322
NMAR_RS01165,Nmar_0222,creatininase family protein,-0.14,0.780203455,8.190017306,10.61822338,2.81,3.338406537,76G-FAM001256,Thaumi_prot_LH_FAM000025,N,Y,NV+NF+NM,NV+NF+NM,1400
NMAR_RS01820,Nmar_0342,PEFG-CTERM sorting domain-containing protein,-0.14,0.663786395,18.99805847,28.96422403,4.13,4.826344111,76G-FAM008011_0,Thaumi_prot_LH_FAM000289_0,N,Y,NV+NM,NV+NM,931
NMAR_RS06835,Nmar_1275,rhodanese-like domain-containing protein,-0.14,0.44596138,56.69804814,85.99721606,5.75,6.418808803,76G-FAM008563,Thaumi_prot_LH_FAM002079,N,Y,NM,NM,494
NMAR_RS01830,Nmar_0344,PEFG-CTERM sorting domain-containing protein,-0.14,0.454448842,3648.310905,5684.319327,11.8,12.46248735,76G-FAM008011_0,Thaumi_prot_LH_FAM000289_0,N,Y,NV+NM,NV+NM,27
NMAR_RS01880,Nmar_0354,30S ribosomal protein S12,-0.14,0.575397143,65.57585085,100.4352941,5.94,6.620502059,76G-FAM000349,Thaumi_prot_LH_FAM000292,Y,N,NV+NF+NM,NV+NF+NM,444
NMAR_RS05845,Nmar_1092,RidA family protein,-0.14,0.400158806,77.84982338,125.1659854,6.25,6.959050561,76G-FAM000854,Thaumi_prot_LH_FAM000444,N,N,NV+NF+NM,NV+NF+NM,389
NMAR_RS09875,Nmar_1629,hypothetical protein,-0.14,0.843715566,10.0019976,16.39199197,3.19,3.800156067,76G-FAM002605,Thaumi_prot_LH_FAM000996,N,N,NM,NV+NM,1301
NMAR_RS03295,Nmar_0616,lamin tail domain-containing protein,-0.14,0.410872878,132.5795147,205.2855756,7,7.680659435,76G-FAM008270,Thaumi_prot_LH_FAM000656,N,Y,NM,NM,259
NMAR_RS09555,Nmar_1789,hypothetical protein,-0.14,0.713033379,19.10506926,30.52033704,4.16,4.897265961,76G-FAM008076,Thaumi_prot_LH_FAM001051,N,Y,NV+NF+NM,NV+NF+NM,928
NMAR_RS09035,Nmar_1689,V-type ATP synthase subunit D,-0.14,0.467238108,106.2493309,166.5856145,6.7,7.375063082,76G-FAM000381,Thaumi_prot_LH_FAM000803,N,N,NV+NM,NV+NM,304
NMAR_RS07800,Nmar_1456,DM13 domain-containing protein,-0.14,0.622292923,11.61971497,17.82848255,3.51,4.137962343,76G-FAM028493,Thaumi_prot_LH_FAM006618,N,Y,NM,NM,1224
NMAR_RS05350,Nmar_0999,hypothetical protein,-0.15,0.387849823,260.0009275,408.2241383,7.98,8.664211463,76G-FAM008656,Thaumi_prot_LH_FAM002014,N,Y,NM,NM,147
NMAR_RS01200,Nmar_0228,nucleoside-diphosphate kinase,-0.15,0.566622089,59.37258771,88.01859536,5.8,6.436956501,76G-FAM000426,Thaumi_prot_LH_FAM000179,Y,N,NV+NF+NM,NV+NF+NM,478
NMAR_RS03985,Nmar_0746,MqnA/MqnD/SBP family protein,-0.15,0.579581053,17.91511846,27.997503,4.04,4.806371709,76G-FAM004893,Thaumi_prot_LH_FAM000498,N,N,NV+NF+NM,NV+NF+NM,964
NMAR_RS02400,Nmar_0449,50S ribosomal protein L16,-0.15,0.480355937,66.7121747,98.68815629,6.01,6.600959201,76G-FAM000476,Thaumi_prot_LH_FAM000604,Y,N,NV+NF+NM,NV+NF+NM,434
NMAR_RS03685,Nmar_0688,hypothetical protein,-0.15,0.641701573,13.30180697,18.41346191,3.73,4.161791116,76G-FAM008694,Thaumi_prot_LH_FAM001924,N,Y,NM,NM,1140
NMAR_RS05475,Nmar_1018,hypothetical protein,-0.15,0.819899163,7.191663202,12.48206179,2.6,3.552777915,76G-FAM008399,Thaumi_prot_LH_FAM002027,N,Y,NM,NM,1452
NMAR_RS02050,Nmar_0382,50S ribosomal protein L1,-0.15,0.358187891,270.3681633,418.24488,8.02,8.702575479,76G-FAM000981,Thaumi_prot_LH_FAM000672,Y,N,NV+NF+NM,NV+NF+NM,143
NMAR_RS06950,Nmar_1298,adenylyltransferase/cytidyltransferase family protein,-0.15,0.646650516,17.01055993,25.55307361,3.95,4.649473696,76G-FAM000096,Thaumi_prot_LH_FAM000086,N,N,NV+NF+NM,NV+NF+NM,997
NMAR_RS01265,Nmar_0240,replication factor C small subunit,-0.15,0.606710963,21.6737185,32.31012187,4.37,4.996462326,76G-FAM000763,Thaumi_prot_LH_FAM000964,Y,N,NV+NF+NM,NV+NF+NM,869
NMAR_RS02940,Nmar_0549,shikimate kinase,-0.15,0.558052855,16.17757998,23.48410672,3.94,4.549226478,76G-FAM000482,Thaumi_prot_LH_FAM000122,N,N,NV+NF+NM,NV+NF+NM,1024
NMAR_RS00115,Nmar_0021,cation:proton antiporter,-0.15,0.504286703,18.40770706,24.51837774,4.16,4.608445227,76G-FAM008166,Thaumi_prot_LH_FAM001068,N,Y,NM,NM,950
NMAR_RS00755,Nmar_0146,SDR family NAD(P)-dependent oxidoreductase,-0.15,0.724781986,9.371241249,13.25738949,3.19,3.642668053,76G-FAM003403,Thaumi_prot_LH_FAM001219,N,N,NM,NM,1339
NMAR_RS03360,Nmar_0628,hypothetical protein,-0.15,0.877758273,6.113091336,8.444123766,1.73,2.960252809,76G-FAM008352,Thaumi_prot_LH_FAM001909,N,Y,NM,NM,1519
NMAR_RS04120,Nmar_0770,formate--phosphoribosylaminoimidazolecarboxamide ligase family protein,-0.15,0.45691428,30.96113433,39.18746371,4.85,5.267869989,76G-FAM000396_0,Thaumi_prot_LH_FAM000144,Y,N,NV+NF+NM,NV+NF+NM,722
NMAR_RS04995,Nmar_0933,DNA-binding protein,-0.15,0.492072788,60.39609355,82.41771006,5.88,6.332239852,76G-FAM000248_0,Thaumi_prot_LH_FAM000184,Y,N,NV+NF+NM,NV+NF+NM,469
NMAR_RS07230,Nmar_1350,DUF6659 family protein,-0.15,0.79087678,15.97914195,16.65230924,3.57,4.042780542,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,NV+NF+NM,NV+NF+NM,1035
NMAR_RS02095,Nmar_0390,50S ribosomal protein L19e,-0.15,0.58532504,47.26463984,70.4774587,5.49,6.057320716,76G-FAM000581,Thaumi_prot_LH_FAM000216,Y,N,NV+NF+NM,NV+NF+NM,550
NMAR_RS00460,Nmar_0089,single-stranded DNA-binding protein,-0.15,0.462994828,27.70852465,42.53963386,4.71,5.405987363,76G-FAM007400,Thaumi_prot_LH_FAM001125,N,Y,NV+NF+NM,NV+NF+NM,768
NMAR_RS06175,Nmar_1149,hypothetical protein,-0.15,0.65550876,9.161659399,13.93490751,3.15,3.787895986,76G-FAM008533,Thaumi_prot_LH_FAM002054,N,Y,NM,NM,1348
NMAR_RS09590,Nmar_1796,hypothetical protein,-0.15,0.843715566,8.010024805,7.805512567,2.75,2.89363441,76G-FAM008079,Thaumi_prot_LH_FAM001034,N,Y,NV+NF+NM,NV+NF+NM,1409
NMAR_RS03035,Nmar_0566,hypothetical protein,-0.16,0.887710208,4.825947101,8.19405201,1.02,2.924846018,76G-FAM008895,Thaumi_prot_LH_FAM001653,N,Y,NM,NM,1595
NMAR_RS06885,Nmar_1285,ABC transporter substrate-binding protein,-0.16,0.411456392,34.0420621,52.0983083,5.01,5.701505182,76G-FAM007407,Thaumi_prot_LH_FAM000503,N,Y,NV+NF+NM,NV+NF+NM,689
NMAR_RS06930,Nmar_1294,alpha-aminoadipate/glutamate carrier protein LysW,-0.16,0.789641702,14.11447123,24.86580837,3.73,4.508873241,76G-FAM000340_0,Thaumi_prot_LH_FAM000082,Y,N,NV+NF+NM,NV+NF+NM,1103
NMAR_RS01225,Nmar_0233,VOC family protein,-0.16,0.706972894,18.82535944,28.19329432,4.16,4.751707479,76G-FAM002507,Thaumi_prot_LH_FAM001756,N,N,NV+NM,NV+NM,936
NMAR_RS09475,Nmar_1774,ribose-phosphate pyrophosphokinase,-0.16,0.703855642,11.62565778,18.4172735,3.42,4.189967485,76G-FAM000042,Thaumi_prot_LH_FAM001063,N,N,NV+NF+NM,NV+NF+NM,1223
NMAR_RS01410,Nmar_0265,glutamyl-tRNA reductase,-0.16,0.420583484,87.41454782,134.3439602,6.4,7.056291438,76G-FAM004905,Thaumi_prot_LH_FAM000771,Y,N,NV+NF+NM,NV+NF+NM,357
NMAR_RS09630,0,hypothetical protein,-0.16,0.905945045,3.918309828,7.623783924,#NUM!,2.52914635,#N/A,Thaumi_prot_LH_FAM001848,#N/A,#N/A,NA,NM,1655
NMAR_RS02375,Nmar_0445,hypothetical protein,-0.16,0.509349101,16.67526727,26.2709376,4.02,4.661898723,76G-FAM008217,Thaumi_prot_LH_FAM001279,N,Y,NM,NM,1009
NMAR_RS04830,Nmar_0904,hypothetical protein,-0.16,0.558328882,46.60041316,59.61161047,5.53,5.862096663,76G-FAM008664,Thaumi_prot_LH_FAM001991,N,Y,NM,NM,559
NMAR_RS03170,Nmar_0593,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG",-0.16,0.480661613,10.85843045,18.02647649,3.39,4.159192566,76G-FAM007601,Thaumi_prot_LH_FAM000668,N,Y,NV+NF+NM,NV+NF+NM,1262
NMAR_RS09965,Nmar_1396,transcriptional regulator,-0.16,0.480093312,19.80803584,31.17610791,4.26,4.947700836,76G-FAM000280,#N/A,N,N,NF+NM,NA,905
NMAR_RS00270,Nmar_0052,endonuclease III,-0.16,0.679008811,6.689216049,8.676043227,2.72,3.074300524,76G-FAM000521,Thaumi_prot_LH_FAM001089,N,N,NV+NF+NM,NV+NF+NM,1483
NMAR_RS05415,Nmar_1011,nitroreductase family protein,-0.16,0.420820165,28.48248042,42.92103091,4.75,5.40615361,76G-FAM000660_0,Thaumi_prot_LH_FAM001931,N,N,NV+NF+NM,NV+NF+NM,760
NMAR_RS07070,Nmar_1322,DNA topoisomerase I,-0.16,0.664469897,15.83466,25.77331501,3.91,4.63841367,76G-FAM001315,Thaumi_prot_LH_FAM000107,Y,N,NV+NF+NM,NV+NF+NM,1041
NMAR_RS01485,Nmar_0280,NADH-quinone oxidoreductase subunit NuoH,-0.16,0.415515926,91.07181607,141.9990606,6.46,7.147317691,76G-FAM000967,Thaumi_prot_LH_FAM000931,Y,N,NV+NF+NM,NV+NF+NM,341
NMAR_RS02215,Nmar_0413,2-oxoacid:ferredoxin oxidoreductase subunit alpha,-0.16,0.266503203,34.38084126,52.78441139,5.04,5.717741408,76G-FAM000603,Thaumi_prot_LH_FAM000192,Y,N,NV+NF+NM,NV+NF+NM,679
NMAR_RS03745,Nmar_0699,hypothetical protein,-0.16,0.682328082,17.30829569,28.29355268,4.01,4.804072749,76G-FAM008448,Thaumi_prot_LH_FAM000162,N,Y,NM,NM,990
NMAR_RS04040,Nmar_0757,hypothetical protein,-0.16,0.901308607,1.562181949,1.450358685,#NUM!,0.245702698,76G-FAM008682,Thaumi_prot_LH_FAM001945,N,Y,NM,NM,1860
NMAR_RS00995,0,hypothetical protein,-0.17,0.819899163,6.622912934,11.04433084,2.59,3.375134525,#N/A,Thaumi_prot_LH_FAM001234,#N/A,#N/A,NA,NM,1487
NMAR_RS02815,Nmar_0527,cold-shock protein,-0.17,0.653697971,60.71356833,96.18896476,5.84,6.502422221,76G-FAM008235,Thaumi_prot_LH_FAM000331,N,Y,NM,NM,466
NMAR_RS01180,Nmar_0224,phosphoglucosamine mutase,-0.17,0.572018107,8.926506975,13.27036974,3,3.715989502,76G-FAM000251,Thaumi_prot_LH_FAM000175,Y,N,NV+NF+NM,NV+NF+NM,1362
NMAR_RS06365,Nmar_1183,Lrp/AsnC ligand binding domain-containing protein,-0.17,0.593597586,41.0932779,66.76170102,5.28,6.004003994,76G-FAM000172_0,Thaumi_prot_LH_FAM000047_0,Y,N,NV+NF+NM,NV+NF+NM,604
NMAR_RS07055,Nmar_1319,site-specific DNA-methyltransferase,-0.17,0.812334332,3.029760586,4.676766916,1.49,2.159484664,76G-FAM002939,Thaumi_prot_LH_FAM000745,N,N,NM,NM,1738
NMAR_RS03700,Nmar_0690,tRNA (adenine-N1)-methyltransferase,-0.17,0.604539993,14.05471869,20.92935765,3.66,4.370459676,76G-FAM000839,Thaumi_prot_LH_FAM000223,Y,N,NV+NF+NM,NV+NF+NM,1106
NMAR_RS08065,Nmar_1503,methane monooxygenase/ammonia monooxygenase subunit B,-0.17,0.266957714,24948.38945,40158.7785,14.58,15.29213653,76G-FAM007701,Thaumi_prot_LH_FAM000258,Y,Y,NV+NF+NM,NV+NF+NM,6
NMAR_RS04205,Nmar_0787,PPOX class F420-dependent oxidoreductase,-0.17,0.847061917,6.821296799,8.886643927,2.57,2.858211764,76G-FAM001130_1,Thaumi_prot_LH_FAM000481,N,N,NF+NM,NF+NM,1474
NMAR_RS02630,Nmar_0491,hydroxymethylbilane synthase,-0.17,0.586719045,10.73907814,17.08890256,3.39,4.066582583,76G-FAM001988,Thaumi_prot_LH_FAM000742,N,N,NV+NF+NM,NV+NF+NM,1269
NMAR_RS08265,Nmar_1542,plastocyanin/azurin family copper-binding protein,-0.17,0.384181124,215.4930912,341.2813171,7.7,8.394674972,76G-FAM002825_0,Thaumi_prot_LH_FAM000003_0,Y,N,NV+NF+NM,NV+NF+NM,173
NMAR_RS01030,Nmar_0198,hypothetical protein,-0.17,0.709750495,9.418705017,13.01767113,3.12,3.655304165,76G-FAM008459,Thaumi_prot_LH_FAM000007,N,Y,NM,NM,1334
NMAR_RS03070,Nmar_0573,ferritin,-0.18,0.260330852,429.7566307,695.3781169,8.72,9.435815078,76G-FAM008254,Thaumi_prot_LH_FAM001031,N,Y,NF+NM,NF+NM,97
NMAR_RS08640,Nmar_1616,"3,4-dihydroxy-2-butanone-4-phosphate synthase",-0.18,0.351736748,61.13709045,95.96971506,5.86,6.567142022,76G-FAM002822,Thaumi_prot_LH_FAM000982,N,N,NV+NF+NM,NV+NF+NM,463
NMAR_RS09270,Nmar_1735,hypothetical protein,-0.18,0.554872544,59.73483448,96.79485684,5.89,6.567269804,76G-FAM008144,Thaumi_prot_LH_FAM000861,N,Y,NV+NF+NM,NM,473
NMAR_RS00710,Nmar_0137,DUF4910 domain-containing protein,-0.18,0.758837659,3.628224536,5.201060548,1.65,2.335891806,76G-FAM028422,Thaumi_prot_LH_FAM006536,N,Y,NM,NM,1683
NMAR_RS03320,0,preprotein translocase subunit Sec61beta,-0.18,0.676851376,58.10119182,93.7998418,5.72,6.441285258,#N/A,Thaumi_prot_LH_FAM000707,#N/A,#N/A,NA,NV+NF+NM,486
NMAR_RS03195,Nmar_0597,tRNA-binding protein,-0.18,0.64010363,26.66643373,43.82790153,4.67,5.435805934,76G-FAM000815,Thaumi_prot_LH_FAM001363,N,N,NV+NF+NM,NV+NF+NM,782
NMAR_RS01835,Nmar_0345,PEFG-CTERM sorting domain-containing protein,-0.18,0.318582959,3594.796592,5733.33558,11.77,12.47881759,76G-FAM008011_0,Thaumi_prot_LH_FAM000289_0,N,Y,NV+NM,NV+NM,28
NMAR_RS09435,Nmar_1766,adenylate/guanylate cyclase domain-containing protein,-0.18,0.440075363,7.01362096,11.28968761,2.79,3.490644634,76G-FAM007405,Thaumi_prot_LH_FAM000501,N,Y,NV+NF+NM,NM,1463
NMAR_RS05600,Nmar_1043,SDR family NAD(P)-dependent oxidoreductase,-0.18,0.150618557,90.22404567,142.7376428,6.44,7.147883801,76G-FAM007403,Thaumi_prot_LH_FAM000639,Y,Y,NV+NF+NM,NV+NF+NM,347
NMAR_RS00355,Nmar_0069,tetratricopeptide repeat protein,-0.18,0.706972894,6.114942522,8.374771915,2.31,3.038365947,76G-FAM007450,Thaumi_prot_LH_FAM001108,N,Y,NV+NF+NM,NV+NF+NM,1518
NMAR_RS09330,Nmar_1745,PfkB family carbohydrate kinase,-0.18,0.635459669,9.791543353,16.26153814,3.1,4.002679529,76G-FAM008152,Thaumi_prot_LH_FAM000793,N,Y,NV+NF+NM,NV+NF+NM,1312
NMAR_RS10055,Nmar_0254,HEAT repeat domain-containing protein,-0.18,0.85851849,2.004704075,3.023940344,0.16,1.509276591,76G-FAM008568,#N/A,N,Y,NM,NA,1822
NMAR_RS00495,Nmar_0095,nucleotide exchange factor GrpE,-0.18,0.706972894,10.32346322,17.73733229,3.32,4.011326664,76G-FAM000877,Thaumi_prot_LH_FAM001130,Y,N,NV+NF+NM,NV+NF+NM,1282
NMAR_RS01555,Nmar_0292,ribosomal protein S18-alanine N-acetyltransferase,-0.18,0.555955213,39.39231972,66.0114287,5.29,6.015396541,76G-FAM000651,Thaumi_prot_LH_FAM000944,Y,N,NV+NF+NM,NV+NF+NM,628
NMAR_RS02180,Nmar_0407,hypothetical protein,-0.19,0.703312258,7.826251068,12.40338815,2.81,3.620064944,76G-FAM008281,Thaumi_prot_LH_FAM000199,N,Y,NM,NM,1423
NMAR_RS07545,Nmar_1409,KH domain-containing protein,-0.19,0.471407337,18.42200818,30.1469607,4.19,4.909211998,76G-FAM000706,Thaumi_prot_LH_FAM000423,Y,N,NV+NF+NM,NV+NF+NM,949
NMAR_RS06380,Nmar_1186,DUF3426 domain-containing protein,-0.19,0.611428951,9.356884375,16.54789842,3.16,3.979178658,76G-FAM008298,Thaumi_prot_LH_FAM002064,N,Y,NM,NM,1341
NMAR_RS02150,Nmar_0401,uL15 family ribosomal protein,-0.19,0.248747078,287.7476425,462.7508753,8.13,8.85085743,76G-FAM000227,Thaumi_prot_LH_FAM000205,Y,N,NV+NF+NM,NV+NF+NM,133
NMAR_RS04555,Nmar_0853,VOC family protein,-0.19,0.123279672,814.6890349,1296.496341,9.63,10.33737459,76G-FAM007427,Thaumi_prot_LH_FAM000451,Y,Y,NV+NF+NM,NV+NF+NM,58
NMAR_RS06800,Nmar_1268,homocysteine S-methyltransferase family protein,-0.19,0.387849823,16.76617966,27.76444078,4.04,4.776813705,76G-FAM008284,Thaumi_prot_LH_FAM000508,N,Y,NV+NF+NM,NV+NF+NM,1004
NMAR_RS07440,Nmar_1388,radical SAM protein,-0.19,0.236058422,147.2479921,234.2687644,7.14,7.859902585,76G-FAM000054_0,Thaumi_prot_LH_FAM000365,Y,N,NV+NF+NM,NV+NF+NM,237
NMAR_RS04230,0,hypothetical protein,-0.19,0.652917177,16.77979599,27.19854173,3.95,4.744820929,#N/A,Thaumi_prot_LH_FAM001216,#N/A,#N/A,NA,NM,1002
NMAR_RS07790,Nmar_1454,hypothetical protein,-0.19,0.898267287,5.531125356,5.062322967,#NUM!,1.889529368,76G-FAM008098,Thaumi_prot_LH_FAM002117,N,Y,NM,NM,1558
