Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains
NFRAN_RS05750,NFRAN_1406,hypothetical protein,-0.27,5.83E-02,566.54,1004.55,9.13,9.96,76G-FAM010526,Thaumi_prot_LH_FAM004124,N,Y,,
NFRAN_RS05755,NFRAN_1407,alcohol dehydrogenase catalytic domain-containing protein,0.64,6.63E-07,61.92,58.5,5.93,5.87,76G-FAM000733_0,Thaumi_prot_LH_FAM004125,Y,N,,
NFRAN_RS05760,NFRAN_1408,hypothetical protein,-0.56,1.48E-03,599.68,1297.1,9.18,10.34,76G-FAM010527,Thaumi_prot_LH_FAM004126,N,Y,,
NFRAN_RS05765,NFRAN_1409,multicopper oxidase domain-containing protein (nirK?),-0.38,2.16E-04,6826.97,12981.63,12.71,13.66,76G-FAM008287,Thaumi_prot_LH_FAM001735,N,Y,,
NFRAN_RS05770,NFRAN_1411,zinc metalloprotease HtpX,0.47,3.09E-03,102.88,110.64,6.67,6.79,76G-FAM000153,Thaumi_prot_LH_FAM003087,N,N,,
NFRAN_RS05775,NFRAN_1412,hypothetical protein,0.41,4.89E-02,18.42,20.62,4.17,4.36,76G-FAM035607,Thaumi_prot_LH_FAM013210,N,Y,,
NFRAN_RS05780,NFRAN_1413,NTF2-like N-terminal transpeptidase domain-containing protein,0.95,1.32E-09,123.73,94.78,6.92,6.56,76G-FAM035608,Thaumi_prot_LH_FAM013211,N,Y,,
NFRAN_RS05785,NFRAN_1414,PspA/IM30 family protein,0.83,4.77E-08,247.91,207.59,7.94,7.69,76G-FAM007533,Thaumi_prot_LH_FAM003089,N,Y,,
NFRAN_RS05790,NFRAN_1415,cation diffusion facilitator family transporter,0.12,7.82E-01,3.04,4.16,1.51,1.98,76G-FAM004914,Thaumi_prot_LH_FAM002284,N,N,,
NFRAN_RS05795,NFRAN_1416,hypothetical protein,0.22,1.58E-01,28.47,36.26,4.82,5.17,76G-FAM008949,Thaumi_prot_LH_FAM002141,N,Y,,
NFRAN_RS05800,NFRAN_1417,hypothetical protein,0.25,2.99E-01,20.38,25.17,4.32,4.63,76G-FAM011124,Thaumi_prot_LH_FAM004829,N,Y,,
NFRAN_RS05805,NFRAN_1418,asparagine synthase C-terminal domain-containing protein,-0.62,1.86E-04,8.65,19.54,3.1,4.28,76G-FAM008099,Thaumi_prot_LH_FAM000585,N,Y,,
NFRAN_RS05810,NFRAN_1419,6-carboxytetrahydropterin synthase,-0.37,1.77E-02,41.98,79.09,5.35,6.3,76G-FAM002320,Thaumi_prot_LH_FAM000583,N,N,,
NFRAN_RS05815,NFRAN_1420,valine--tRNA ligase,-0.28,1.72E-02,143.05,254.19,7.14,7.99,76G-FAM000067,Thaumi_prot_LH_FAM000582,Y,N,,
NFRAN_RS05820,NFRAN_1421,DUF6659 family protein,-0.37,2.58E-03,241.96,453.52,7.89,8.82,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,,
NFRAN_RS05825,NFRAN_1422,discoidin domain-containing protein,-0.3,6.06E-02,261.63,476.7,8.01,8.89,76G-FAM010528,Thaumi_prot_LH_FAM004127,N,Y,,
NFRAN_RS05830,NFRAN_1423,hypothetical protein,-0.45,1.72E-03,239.41,478.9,7.87,8.9,76G-FAM010529,Thaumi_prot_LH_FAM004128,N,Y,,
NFRAN_RS05835,NFRAN_1424,RidA family protein,-0.15,2.85E-01,39.64,64.34,5.29,6,76G-FAM000854,Thaumi_prot_LH_FAM000444,N,N,,
NFRAN_RS05840,NFRAN_1425,plastocyanin/azurin family copper-binding protein,-0.02,8.83E-01,956.54,1423.53,9.9,10.47,76G-FAM002825_0,Thaumi_prot_LH_FAM000003_0,Y,N,,
NFRAN_RS05845,NFRAN_1426,thioredoxin domain-containing protein,-0.04,7.38E-01,53.17,80.01,5.72,6.32,76G-FAM001460,Thaumi_prot_LH_FAM000336,Y,N,,
NFRAN_RS05850,NFRAN_1427,hypothetical protein,-0.25,6.81E-02,251.15,436.65,7.94,8.76,76G-FAM010530,Thaumi_prot_LH_FAM004129,N,Y,,
NFRAN_RS05855,NFRAN_1428,hypothetical protein,0.23,8.50E-02,186.63,234.07,7.53,7.86,76G-FAM009782,Thaumi_prot_LH_FAM003262,N,Y,,
NFRAN_RS05860,NFRAN_1429,hypothetical protein,-0.1,5.13E-01,66.4,103.89,6.03,6.69,76G-FAM010349,Thaumi_prot_LH_FAM002666,N,Y,,
NFRAN_RS05865,NFRAN_1430,hypothetical protein,-0.94,1.48E-02,9.57,26.78,3.03,4.66,#N/A,Thaumi_prot_LH_FAM013212,#N/A,#N/A,,
NFRAN_RS05870,NFRAN_1431,serine/threonine protein kinase,-0.49,7.78E-02,3.76,7.81,1.84,2.95,76G-FAM000302,Thaumi_prot_LH_FAM001056,N,N,,
NFRAN_RS05875,NFRAN_1432,CCA tRNA nucleotidyltransferase,-0.46,1.53E-03,18.35,36.75,4.15,5.2,76G-FAM000303,Thaumi_prot_LH_FAM001057,Y,N,,
NFRAN_RS05880,NFRAN_1433,"RNA 2',3'-cyclic phosphodiesterase",-0.35,1.36E-01,10.98,20.2,3.38,4.32,76G-FAM000304,Thaumi_prot_LH_FAM001058,N,N,,
NFRAN_RS05885,NFRAN_1434,nucleoside monophosphate kinase,-0.34,2.59E-03,55.55,103.48,5.79,6.69,76G-FAM002289,Thaumi_prot_LH_FAM001059,Y,N,,
NFRAN_RS05890,NFRAN_1435,RNA-binding domain-containing protein,-0.44,6.46E-04,39.92,79.43,5.31,6.3,76G-FAM000670,Thaumi_prot_LH_FAM001060,Y,N,,
NFRAN_RS05895,NFRAN_1436,rhodanese-like domain-containing protein,0.33,7.90E-03,269.08,311.82,8.04,8.28,76G-FAM001528_0,Thaumi_prot_LH_FAM000233_0,Y,N,,
NFRAN_RS05900,NFRAN_1437,nitrite/sulfite reductase,0.3,1.72E-02,786.64,935.08,9.59,9.87,76G-FAM007454,Thaumi_prot_LH_FAM000232,Y,Y,,
NFRAN_RS05905,0,tRNA-Trp,0.51,1.05E-02,440.91,463.89,8.77,8.83,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS13735,NFRAN_1439,hypothetical protein,-0.14,6.12E-01,90.55,142.34,6.38,7.14,#N/A,Thaumi_prot_LH_FAM013213,#N/A,#N/A,,
NFRAN_RS05915,NFRAN_1441,hypothetical protein,-0.01,9.71E-01,10.54,15.42,3.36,3.93,76G-FAM007536,Thaumi_prot_LH_FAM000046,Y,Y,,
NFRAN_RS05920,NFRAN_1442,VOC family protein,-0.11,3.60E-01,278.77,439.67,8.1,8.78,76G-FAM007427,Thaumi_prot_LH_FAM000451,Y,Y,,
NFRAN_RS05925,NFRAN_1443,FAD-binding oxidoreductase,-0.57,2.69E-06,13.73,29.71,3.76,4.89,76G-FAM008313,Thaumi_prot_LH_FAM001017,N,Y,,
NFRAN_RS05930,NFRAN_1444,type II methionyl aminopeptidase,-0.58,1.02E-06,70.27,152.82,6.1,7.25,76G-FAM000136,Thaumi_prot_LH_FAM000662,Y,N,,
NFRAN_RS05935,NFRAN_TRNA15,tRNA-Pro,-0.25,4.48E-01,30.88,53.78,4.9,5.72,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS05940,NFRAN_1446,30S ribosomal protein S11,-0.58,1.51E-05,339.9,739.46,8.37,9.53,76G-FAM000072,Thaumi_prot_LH_FAM000591,Y,N,,
NFRAN_RS05945,NFRAN_1447,thiamine-phosphate kinase,-0.17,1.58E-01,78.22,128.73,6.27,7.01,76G-FAM000825,Thaumi_prot_LH_FAM000592,Y,N,,
NFRAN_RS05950,NFRAN_1448,phosphomannomutase,-0.03,7.98E-01,124.45,186.03,6.95,7.54,76G-FAM002304,Thaumi_prot_LH_FAM000593,Y,N,,
NFRAN_RS05955,NFRAN_1449,transcriptional regulator,0.65,6.11E-10,725.81,679.99,9.49,9.41,76G-FAM000658,Thaumi_prot_LH_FAM000183,Y,N,,
NFRAN_RS05960,NFRAN_1450,4Fe-4S binding protein,0.2,3.45E-02,9994.29,12671.05,13.27,13.63,76G-FAM007776,Thaumi_prot_LH_FAM000173,Y,Y,,
NFRAN_RS05965,NFRAN_1451,hypothetical protein,0.54,1.20E-06,1743.73,1756.08,10.75,10.77,76G-FAM007417,Thaumi_prot_LH_FAM000914,N,Y,,
NFRAN_RS05970,NFRAN_1452,hypothetical protein,-0.04,8.66E-01,25.59,38.06,4.64,5.23,76G-FAM010387,Thaumi_prot_LH_FAM003211,N,Y,,
NFRAN_RS05975,NFRAN_1453,class I SAM-dependent methyltransferase,-0.04,8.42E-01,22.21,32.97,4.43,5.04,76G-FAM010387,Thaumi_prot_LH_FAM003211,N,Y,,
NFRAN_RS05980,NFRAN_1454,MBL fold metallo-hydrolase,0.23,2.48E-02,285.77,359.37,8.15,8.49,76G-FAM000661,Thaumi_prot_LH_FAM000915,N,N,,
NFRAN_RS05985,NFRAN_1455,DNA glycosylase,0.14,2.25E-01,60.68,81.1,5.91,6.34,76G-FAM002456,Thaumi_prot_LH_FAM000916,Y,N,,
NFRAN_RS13740,NFRAN_1456,hypothetical protein,0.01,9.61E-01,733.42,1077.49,9.5,10.07,#N/A,Thaumi_prot_LH_FAM013214,#N/A,#N/A,,
NFRAN_RS05995,NFRAN_1457,ThiF family adenylyltransferase,0.95,2.71E-16,1560.94,1190.21,10.6,10.21,76G-FAM002945,Thaumi_prot_LH_FAM001189,N,N,,
NFRAN_RS06000,NFRAN_1458,threonine synthase,1.34,2.06E-21,2870.49,1683.83,11.47,10.72,76G-FAM000062_0,Thaumi_prot_LH_FAM001188,Y,N,,
NFRAN_RS06005,NFRAN_1459,phosphoribosyl-AMP cyclohydrolase,-0.52,2.29E-03,27.22,56.82,4.73,5.82,76G-FAM000260,Thaumi_prot_LH_FAM001186,N,N,,
NFRAN_RS06010,NFRAN_1460,tRNA(Ile)(2)-agmatinylcytidine synthase,0.25,2.24E-02,88.34,109.34,6.46,6.77,76G-FAM000789,Thaumi_prot_LH_FAM001173,N,N,,
NFRAN_RS13745,0,tRNA-Met,-0.08,7.83E-01,172.81,268.91,7.36,8.05,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS06015,0,tRNA-Leu,-0.6,1.53E-02,40.75,87.89,5.23,6.45,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS06020,NFRAN_1462,ABC transporter ATP-binding protein,-0.54,3.18E-05,79.87,170.11,6.29,7.41,76G-FAM000031_3,Thaumi_prot_LH_FAM001126,Y,N,,
NFRAN_RS06025,NFRAN_1463,molecular chaperone DnaJ,-0.43,6.82E-06,390.74,769.24,8.59,9.59,76G-FAM000820,Thaumi_prot_LH_FAM001132,N,N,,
NFRAN_RS06030,NFRAN_1464,molecular chaperone DnaK,-0.41,1.16E-03,746.52,1452.54,9.52,10.5,76G-FAM000819,Thaumi_prot_LH_FAM001131,N,N,,
NFRAN_RS06035,NFRAN_1465,nucleotide exchange factor GrpE,-0.26,9.09E-02,67.48,118.22,6.05,6.88,76G-FAM000877,Thaumi_prot_LH_FAM001130,Y,N,,
NFRAN_RS06040,NFRAN_1466,translation initiation factor IF-2 subunit beta,-0.15,4.17E-01,82.86,136.83,6.36,7.1,76G-FAM000891,Thaumi_prot_LH_FAM000447,Y,N,,
NFRAN_RS06045,NFRAN_1467,hypothetical protein,-0.27,1.26E-01,16.4,29.15,4.01,4.86,76G-FAM009777,Thaumi_prot_LH_FAM003168,N,Y,,
NFRAN_RS06050,NFRAN_1468,minichromosome maintenance protein MCM,0.11,3.52E-01,47.05,64.32,5.55,6,76G-FAM000132,Thaumi_prot_LH_FAM000962,Y,N,,
NFRAN_RS06055,NFRAN_1469,hypothetical protein,-0.08,6.86E-01,17.98,27.98,4.14,4.8,76G-FAM010286,Thaumi_prot_LH_FAM002688,N,Y,,
NFRAN_RS06060,NFRAN_1470,replication factor C small subunit,-0.47,2.21E-07,79.49,161.49,6.3,7.33,76G-FAM000763,Thaumi_prot_LH_FAM000964,Y,N,,
NFRAN_RS06065,NFRAN_1471,hypothetical protein,-0.42,6.32E-03,135.38,263.05,7.03,8.03,76G-FAM010079,Thaumi_prot_LH_FAM002686,N,Y,,
NFRAN_RS06070,NFRAN_1472,7-carboxy-7-deazaguanine synthase QueE,-0.02,9.10E-01,23.84,35.4,4.56,5.14,76G-FAM007501,Thaumi_prot_LH_FAM001076,N,Y,,
NFRAN_RS06075,NFRAN_1473,7-cyano-7-deazaguanine synthase,0.13,4.63E-01,39.41,52.49,5.26,5.71,76G-FAM001608,Thaumi_prot_LH_FAM001079,N,N,,
NFRAN_RS06080,NFRAN_1476,zinc ribbon domain-containing protein,-0.21,8.81E-02,332.09,569.53,8.37,9.15,76G-FAM007509,Thaumi_prot_LH_FAM000019,Y,Y,,
NFRAN_RS06085,0,zinc ribbon domain-containing protein,-0.62,4.74E-09,92.34,207.53,6.51,7.69,76G-FAM007508,Thaumi_prot_LH_FAM000018,Y,Y,,
NFRAN_RS06090,NFRAN_1478,cytosine permease,-0.88,2.22E-06,95.23,259.47,6.52,8.02,76G-FAM000719,Thaumi_prot_LH_FAM002869,N,Y,,
NFRAN_RS06095,NFRAN_1479,NAD(P)/FAD-dependent oxidoreductase,-0.43,2.57E-05,122.32,242.02,6.92,7.92,76G-FAM010533,Thaumi_prot_LH_FAM004133,N,Y,,
NFRAN_RS06100,NFRAN_1480,metal ABC transporter permease,0.58,1.08E-03,34.32,34.28,5.08,5.1,76G-FAM007650,Thaumi_prot_LH_FAM002670,N,Y,,
NFRAN_RS06105,NFRAN_1481,metal ABC transporter ATP-binding protein,0.6,6.84E-05,104.04,101.13,6.67,6.66,76G-FAM000031_0,Thaumi_prot_LH_FAM000578,Y,N,,
NFRAN_RS06110,NFRAN_1482,metal ABC transporter substrate-binding protein,0.09,5.94E-01,24.9,34.53,4.62,5.1,76G-FAM007649,Thaumi_prot_LH_FAM002671,N,Y,,
NFRAN_RS06115,NFRAN_1483,urease accessory protein UreD,0.72,4.60E-08,187.45,167.86,7.53,7.39,76G-FAM007853,Thaumi_prot_LH_FAM000297,N,Y,,
NFRAN_RS06120,NFRAN_1484,urease accessory protein UreG,0.99,4.88E-14,446.53,334.78,8.79,8.38,76G-FAM007177,Thaumi_prot_LH_FAM000298,N,Y,,
NFRAN_RS06125,NFRAN_1485,urease accessory UreF family protein,0.38,5.00E-03,44.28,50.46,5.46,5.65,76G-FAM007854,Thaumi_prot_LH_FAM000299,N,Y,,
NFRAN_RS06130,NFRAN_1486,hypothetical protein,0.52,1.77E-04,50.25,52.16,5.64,5.7,76G-FAM007855,Thaumi_prot_LH_FAM000300,N,Y,,
NFRAN_RS06135,NFRAN_1487,hypothetical protein,-0.04,7.91E-01,109.03,165.05,6.76,7.37,76G-FAM007856,Thaumi_prot_LH_FAM002662,N,Y,,
NFRAN_RS06140,NFRAN_1488,TCP-1/cpn60 chaperonin family protein,0.21,3.53E-02,131.93,167.64,7.04,7.39,76G-FAM007857,Thaumi_prot_LH_FAM002661,N,Y,,
NFRAN_RS06145,NFRAN_1489,urease subunit alpha,1.87,6.59E-27,951.11,389.31,9.87,8.6,#N/A,Thaumi_prot_LH_FAM000303,#N/A,#N/A,,
NFRAN_RS13410,NFRAN_1490,urease subunit beta,1.82,2.74E-29,799.07,337.59,9.63,8.39,#N/A,Thaumi_prot_LH_FAM000302,#N/A,#N/A,,
NFRAN_RS06150,NFRAN_1491,urease subunit gamma,1.97,4.76E-28,390.7,149.36,8.59,7.21,76G-FAM007858,Thaumi_prot_LH_FAM000301,N,Y,,
NFRAN_RS06155,NFRAN_1492,hypothetical protein,-0.2,2.03E-01,20.06,33.51,4.3,5.06,76G-FAM010314,Thaumi_prot_LH_FAM002660,N,Y,,
NFRAN_RS06160,NFRAN_1493,urea transporter,1.44,2.65E-15,123.76,67.74,6.93,6.06,76G-FAM007859,Thaumi_prot_LH_FAM002659,N,Y,,
NFRAN_RS06165,NFRAN_1494,sodium/solute symporter,0.55,5.91E-06,42.31,42.43,5.39,5.4,76G-FAM007860,Thaumi_prot_LH_FAM000304,N,Y,,
NFRAN_RS06170,NFRAN_1495,Lrp/AsnC family transcriptional regulator,0.28,1.30E-02,107.52,130.59,6.75,7.02,76G-FAM008674,Thaumi_prot_LH_FAM002483,N,Y,,
NFRAN_RS06175,NFRAN_1496,ParB/RepB/Spo0J family partition protein,1.04,1.91E-10,125.49,90.95,6.96,6.49,76G-FAM004856,Thaumi_prot_LH_FAM000296,N,N,,
NFRAN_RS06180,NFRAN_1497,universal stress protein,-0.5,7.50E-04,127.35,266.39,6.96,8.05,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,,
NFRAN_RS06185,NFRAN_1498,hypothetical protein,0.52,1.03E-01,7.2,7.52,2.76,2.91,76G-FAM007492,Thaumi_prot_LH_FAM000333,N,Y,,
NFRAN_RS06190,NFRAN_1499,hypothetical protein,1.83,4.40E-24,2653.84,1102.43,11.32,10.1,76G-FAM007817,Thaumi_prot_LH_FAM002857,N,Y,,
NFRAN_RS06195,NFRAN_1501,hypothetical protein,-0.28,4.04E-01,7.19,13.01,2.8,3.68,76G-FAM010741,Thaumi_prot_LH_FAM004322,N,Y,,
NFRAN_RS06200,NFRAN_1502,PQQ-dependent sugar dehydrogenase,-0.63,6.56E-06,19.56,44.32,4.26,5.47,76G-FAM008430,Thaumi_prot_LH_FAM001362,N,Y,,
NFRAN_RS06205,NFRAN_1504,MarR family transcriptional regulator,1.01,7.80E-07,64.51,47.46,5.95,5.56,76G-FAM007518,Thaumi_prot_LH_FAM000727,N,Y,,
NFRAN_RS06210,NFRAN_1505,hypothetical protein,-0.29,1.12E-01,102.89,182.17,6.62,7.5,76G-FAM010419_0,Thaumi_prot_LH_FAM004011_0,N,Y,,
NFRAN_RS06215,NFRAN_1506,winged helix-turn-helix domain-containing protein,-0.3,1.35E-02,101.83,183.48,6.65,7.51,76G-FAM035609,Thaumi_prot_LH_FAM013215,N,Y,,
NFRAN_RS13750,0,hypothetical protein,-0.78,5.80E-01,0.78,1.86,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM013216,#N/A,#N/A,,
NFRAN_RS06220,NFRAN_1509,ornithine cyclodeaminase family protein,0.91,9.73E-11,216.37,168.84,7.72,7.39,76G-FAM000257,Thaumi_prot_LH_FAM013217,N,N,,
NFRAN_RS06225,NFRAN_1510,hypothetical protein,0.07,8.66E-01,8.05,11.67,2.96,3.51,76G-FAM035610,Thaumi_prot_LH_FAM013218,N,Y,,
NFRAN_RS14225,NFRAN_1512,hypothetical protein,-0.14,7.57E-01,9.82,15.69,3.21,3.89,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS06230,NFRAN_1513,hypothetical protein,-0.1,7.45E-01,4.62,7.26,2.16,2.83,76G-FAM002322,Thaumi_prot_LH_FAM002991,N,N,,
NFRAN_RS06235,NFRAN_1514,ZIP family metal transporter,0.6,2.87E-04,75.05,71.7,6.17,6.16,76G-FAM000857,Thaumi_prot_LH_FAM004824,N,Y,,
NFRAN_RS06240,NFRAN_1516,plastocyanin/azurin family copper-binding protein,0.63,7.20E-04,295.65,279.2,8.15,8.11,76G-FAM010409,Thaumi_prot_LH_FAM003534,N,Y,,
NFRAN_RS06245,NFRAN_1517,toxin-antitoxin system HicB family antitoxin,-0.47,5.39E-02,8.25,16.59,2.98,4.03,76G-FAM008591,Thaumi_prot_LH_FAM003413,N,Y,,
NFRAN_RS06250,NFRAN_1518,rhodanese-like domain-containing protein,0.13,4.20E-01,391,522.22,8.58,9.02,76G-FAM008592,Thaumi_prot_LH_FAM003281,N,Y,,
NFRAN_RS06255,NFRAN_1519,sulfite exporter TauE/SafE family protein,0.56,2.00E-03,46.39,46.1,5.5,5.51,76G-FAM003321,Thaumi_prot_LH_FAM004099,N,N,,
NFRAN_RS06260,NFRAN_1521,plastocyanin/azurin family copper-binding protein,-0.35,6.80E-03,472.78,878.93,8.85,9.78,76G-FAM002825_0,Thaumi_prot_LH_FAM000003_0,Y,N,,
NFRAN_RS06265,NFRAN_1522,hypothetical protein,-0.39,4.10E-02,11.17,21.68,3.47,4.43,76G-FAM035611,Thaumi_prot_LH_FAM013219,N,Y,,
NFRAN_RS06270,NFRAN_1523,PsbP-related protein,-0.53,1.03E-02,7.83,16.55,2.94,4.02,76G-FAM035612,Thaumi_prot_LH_FAM013220,N,Y,,
NFRAN_RS06275,NFRAN_1524,universal stress protein,-0.52,7.64E-05,37.19,78.19,5.2,6.28,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,,
NFRAN_RS06280,NFRAN_1526,hypothetical protein,-0.2,1.34E-01,2618.15,4386.55,11.33,12.09,76G-FAM010419_0,Thaumi_prot_LH_FAM004011_0,N,Y,,
NFRAN_RS06285,NFRAN_1527,hypothetical protein,-0.03,9.37E-01,2.64,3.91,1.34,1.96,76G-FAM035613,Thaumi_prot_LH_FAM013221,N,Y,,
NFRAN_RS14325,NFRAN_1528,hypothetical protein,1.94,2.60E-01,1.23,0.53,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS14330,NFRAN_1530,cation-transporting P-type ATPase,0.47,1.20E-03,82.28,86.96,6.33,6.43,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS06295,NFRAN_1531,HAD-IC family P-type ATPase,0.75,1.02E-08,47.65,42.13,5.56,5.39,76G-FAM000696,Thaumi_prot_LH_FAM005580,N,Y,,
NFRAN_RS06300,NFRAN_1532,cation transporting ATPase C-terminal domain-containing protein,0.68,7.12E-03,9.39,8.58,3.17,3.1,76G-FAM035615,Thaumi_prot_LH_FAM013223,N,Y,,
NFRAN_RS06305,NFRAN_1533,universal stress protein,0.11,2.82E-01,237.71,323.43,7.88,8.34,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,,
NFRAN_RS06310,NFRAN_1534,alpha/beta fold hydrolase,0.03,8.59E-01,21.85,31.5,4.44,4.97,76G-FAM007706,Thaumi_prot_LH_FAM000721,N,Y,,
NFRAN_RS06315,NFRAN_1535,DDE-type integrase/transposase/recombinase,-0.83,2.86E-01,0.72,1.82,#NUM!,0.8,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS06320,0,hypothetical protein,-0.13,8.90E-01,2.3,3.95,0.8,1.67,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS06325,NFRAN_1536,hypothetical protein,-1.59,4.20E-01,0.19,0.76,#NUM!,#NUM!,76G-FAM035616,Thaumi_prot_LH_FAM013224,N,Y,,
NFRAN_RS06330,0,hypothetical protein,-0.67,4.48E-01,1.73,3.83,#NUM!,1.84,76G-FAM011552,Thaumi_prot_LH_FAM005649,N,Y,,
NFRAN_RS06335,NFRAN_1538,site-2 protease family protein,0.18,2.03E-01,24.86,32.25,4.62,5.01,76G-FAM009756,Thaumi_prot_LH_FAM003178,N,Y,,
NFRAN_RS06340,NFRAN_1539,type I glyceraldehyde-3-phosphate dehydrogenase,0.44,1.04E-04,153.99,167.46,7.25,7.39,76G-FAM000805,Thaumi_prot_LH_FAM004539,N,Y,,
NFRAN_RS06345,NFRAN_1540,hypothetical protein,-0.62,1.29E-03,14.1,32.17,3.8,4.99,76G-FAM011326,Thaumi_prot_LH_FAM013225,N,Y,,
NFRAN_RS06350,NFRAN_1541,nicotinate phosphoribosyltransferase,0.19,2.78E-01,14.15,18.02,3.79,4.17,76G-FAM011327,Thaumi_prot_LH_FAM013226,N,Y,,
NFRAN_RS06355,NFRAN_1542,glycosidase,-0.24,4.59E-02,30.45,52.85,4.92,5.72,76G-FAM000318,Thaumi_prot_LH_FAM004207,N,Y,,
NFRAN_RS06360,NFRAN_1543,universal stress protein,0.25,1.35E-01,33.18,40.82,5.03,5.34,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,,
NFRAN_RS06365,NFRAN_1544,glycosyltransferase family 4 protein,-0.21,1.65E-01,45.47,76.35,5.47,6.25,76G-FAM010609,Thaumi_prot_LH_FAM002900,N,Y,,
NFRAN_RS06370,NFRAN_1545,"fructose-1,6-bisphosphate aldolase/phosphatase",0.65,3.07E-07,165.07,154.81,7.35,7.27,76G-FAM000161,Thaumi_prot_LH_FAM000374,Y,N,,
NFRAN_RS06375,NFRAN_1546,archaeal heat shock protein Hsp20,0.95,2.82E-12,1424.82,1093.11,10.46,10.09,76G-FAM000963_0,Thaumi_prot_LH_FAM001046,Y,N,,
NFRAN_RS06380,NFRAN_1547,hypothetical protein,0.04,8.57E-01,24.16,34.72,4.58,5.1,76G-FAM010959,Thaumi_prot_LH_FAM004536,N,Y,,
NFRAN_RS06385,NFRAN_1548,hypothetical protein,0.41,5.72E-02,36.43,40.59,5.18,5.32,76G-FAM010512,Thaumi_prot_LH_FAM004110,N,Y,,
NFRAN_RS06390,NFRAN_1549,Hsp20/alpha crystallin family protein,0.74,8.63E-11,222.08,195.53,7.79,7.61,76G-FAM008780,Thaumi_prot_LH_FAM002176,N,Y,,
NFRAN_RS06395,NFRAN_1551,CBS domain-containing protein,0.24,1.19E-01,30.39,37.68,4.9,5.23,76G-FAM004796,Thaumi_prot_LH_FAM001028,N,N,,
NFRAN_RS06400,NFRAN_1552,CBS domain-containing protein,0.16,1.29E-01,38.41,50.48,5.25,5.66,76G-FAM004796,Thaumi_prot_LH_FAM001028,N,N,,
NFRAN_RS06405,NFRAN_1553,PPOX class F420-dependent oxidoreductase,-0.47,3.65E-04,49.75,100.84,5.62,6.65,76G-FAM001130_0,Thaumi_prot_LH_FAM003995,Y,N,,
NFRAN_RS06410,NFRAN_1554,CBS domain-containing protein,-0.44,1.07E-03,82.05,163.84,6.34,7.35,76G-FAM009799,Thaumi_prot_LH_FAM001413_0,N,Y,,
NFRAN_RS06415,NFRAN_1555,universal stress protein,-0.29,2.76E-02,41.17,73.75,5.35,6.19,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,,
NFRAN_RS06420,NFRAN_1556,VIT1/CCC1 transporter family protein,-0.35,4.65E-03,21.2,39.59,4.39,5.31,76G-FAM002314,Thaumi_prot_LH_FAM001258,N,N,,
NFRAN_RS06425,NFRAN_1557,universal stress protein,-0.02,8.96E-01,127.96,190.65,6.99,7.57,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_1,N,N,,
NFRAN_RS06430,NFRAN_1558,CoA-transferase,0.43,2.34E-04,44.66,49.05,5.48,5.62,76G-FAM004785,Thaumi_prot_LH_FAM004538,N,N,,
NFRAN_RS14335,NFRAN_1559,hypothetical protein,2.61,3.64E-01,0.39,0.1,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS06435,NFRAN_1560,pyridoxamine 5'-phosphate oxidase family protein,-0.2,4.79E-01,11.76,19.72,3.47,4.27,76G-FAM010648,Thaumi_prot_LH_FAM004239,N,Y,,
NFRAN_RS06440,NFRAN_1562,hypothetical protein,-0.24,2.70E-01,11.69,20.47,3.52,4.34,76G-FAM010457,Thaumi_prot_LH_FAM004056,N,Y,,
NFRAN_RS06445,NFRAN_1563,alpha/beta hydrolase,0.54,1.04E-04,26.06,26.42,4.7,4.72,76G-FAM010637,Thaumi_prot_LH_FAM004228,N,Y,,
NFRAN_RS06450,NFRAN_1564,hypothetical protein,-0.08,7.38E-01,8.42,13.06,3.04,3.7,76G-FAM011087,Thaumi_prot_LH_FAM004663,N,Y,,
NFRAN_RS06455,0,hypothetical protein,0.32,9.42E-01,0.03,0.03,#NUM!,#NUM!,76G-FAM011552,Thaumi_prot_LH_FAM005649,N,Y,,
