Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved_LH,Rank TPM
NVIE_004800,NVIE_RS02335,GCN5-related N-acetyltransferase,-0.09,6.14E-01,19.5,25.35,4.27,4.66,76G-FAM010093,Thaumi_prot_LH_FAM003541,N,Y,NV+NF,NV+NF,2387
NVIE_002710,NVIE_RS01315,DUF59 domain-containing protein,-0.09,5.48E-01,464.29,606.98,8.85,9.24,76G-FAM000640,Thaumi_prot_LH_FAM000949,Y,N,NV+NF+NM,NV+NF+NM,314
NVIE_2179,#N/A,fragment/protein of unknown function,-0.09,7.02E-01,41.92,54.51,5.36,5.76,#N/A,#N/A,#N/A,#N/A,NA,#N/A,1915
NVIE_015070,#N/A,putative exonuclease of the beta-lactamase fold,-0.09,5.70E-01,304.97,398.24,8.24,8.64,#N/A,#N/A,#N/A,#N/A,NA,#N/A,483
NVIE_028180,NVIE_RS13465,protein of unknown function,-0.09,5.57E-01,182.14,238.94,7.5,7.89,76G-FAM009871,Thaumi_prot_LH_FAM003854,N,Y,NV,NV,782
NVIE_030260,NVIE_RS14475,superoxide dismutase (Mn),-0.09,5.01E-01,473.28,615.08,8.87,9.26,76G-FAM000589,Thaumi_prot_LH_FAM000213,Y,N,NV+NF+NM,NV+NF+NM,309
NVIE_021300,NVIE_RS10230,hypothetical protein,-0.09,8.09E-01,6.23,8.11,2.58,2.97,76G-FAM000081,Thaumi_prot_LH_FAM003139,N,N,NV,NV,2828
NVIE_007360,NVIE_RS03565,membrane protein of unknown function,-0.09,6.84E-01,29.49,38.35,4.82,5.26,76G-FAM009530,Thaumi_prot_LH_FAM002851,N,Y,NV,NV,2140
NVIE_019510,NVIE_RS09420,conserved protein of unknown function,-0.09,7.33E-01,7.13,9.33,2.81,3.22,76G-FAM001591_0,Thaumi_prot_LH_FAM001524,Y,N,NV+NF+NM,NV+NF,2787
NVIE_000120,NVIE_RS00055,putative protein of unknown function DUF432,-0.09,5.29E-01,123,160.77,6.93,7.33,76G-FAM009973,Thaumi_prot_LH_FAM003046,N,Y,NV,NV,1085
NVIE_0230,NVIE_RS01110,hypothetical protein,-0.09,5.59E-01,87.65,114.47,6.44,6.83,76G-FAM010041,Thaumi_prot_LH_FAM002837,N,Y,NV,NV,1381
NVIE_030190,NVIE_RS14450,hypothetical protein,-0.09,5.37E-01,141.05,184.66,7.13,7.51,76G-FAM007978,Thaumi_prot_LH_FAM001282,N,Y,NV+NM,NV+NM,981
NVIE_006630,NVIE_RS03230,protein of unknown function,-0.09,4.44E-01,155.5,203.89,7.28,7.67,76G-FAM010136,Thaumi_prot_LH_FAM002870,N,Y,NV,NV,907
NVIE_001220,#N/A,hypothetical protein,-0.09,8.60E-01,4.5,5.94,2.12,2.49,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2897
NVIE_028330,NVIE_RS13530,"Topoisomerase IIB, subunitA",-0.09,3.09E-01,362.26,473.49,8.5,8.89,76G-FAM000671,Thaumi_prot_LH_FAM003152,Y,N,NV+NF+NM,NV+NF,411
NVIE_010250,NVIE_RS04980,protein of unknown function,-0.09,5.64E-01,53.41,69.53,5.73,6.11,76G-FAM004043,Thaumi_prot_LH_FAM008513,N,N,NV,NV,1749
NVIE_023430,NVIE_RS11220,inosine-5'-monophosphate dehydrogenase,-0.09,5.41E-01,415.25,544.95,8.69,9.07,76G-FAM000395,Thaumi_prot_LH_FAM001166,Y,N,NV+NF+NM,NV+NF+NM,354
NVIE_014370,NVIE_RS06985,"putative Copper binding protein, plastocyanin/azurin family",-0.09,4.11E-01,3932.81,5142.58,11.94,12.33,76G-FAM010306,Thaumi_prot_LH_FAM002572,N,Y,NV,NV,25
NVIE_009020,#N/A,protein of unknown function,-0.09,9.32E-01,0.72,0.96,#NUM!,-0.21,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3116
NVIE_011580,NVIE_RS05590,NADH-quinone oxidoreductase subunit N,-0.1,5.77E-01,516.34,680.13,8.99,9.4,76G-FAM000051_0,Thaumi_prot_LH_FAM000937,Y,N,NV+NF+NM,NV+NF+NM,285
NVIE_019620,#N/A,protein of unknown function,-0.1,9.50E-01,0.8,1.08,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3111
NVIE_025970,NVIE_RS12415,putative DNA/RNA-binding protein Alba,-0.1,4.01E-01,794.28,1040.58,9.63,10.02,76G-FAM010337,Thaumi_prot_LH_FAM002635,N,Y,NV,NV,161
NVIE_005470,NVIE_RS02680,"tryptophan synthase, beta chain",-0.1,5.34E-01,276.78,363.37,8.09,8.49,76G-FAM001728,Thaumi_prot_LH_FAM000687,Y,N,NV+NF+NM,NV+NF+NM,526
NVIE_007470,NVIE_RS03625,3-isopropylmalate dehydratase large subunit,-0.1,4.72E-01,292.01,384.6,8.18,8.57,76G-FAM000986,Thaumi_prot_LH_FAM000823,Y,N,NV+NF+NM,NV+NF+NM,500
NVIE_014440,NVIE_RS07020,putative UPF0126 membrane protein,-0.1,5.67E-01,15.88,20.84,3.97,4.37,76G-FAM005922,Thaumi_prot_LH_FAM001261,N,Y,NV+NF+NM,NV+NF+NM,2489
NVIE_009100,NVIE_RS04445,protein of unknown function,-0.1,4.03E-01,52.7,69.09,5.71,6.11,76G-FAM035209,Thaumi_prot_LH_FAM008499,N,Y,NV,NV,1756
NVIE_012110,NVIE_RS05855,conserved exported protein of unknown function,-0.1,5.27E-01,18.25,23.96,4.19,4.58,76G-FAM010257,Thaumi_prot_LH_FAM003636,N,Y,NV,NV,2410
NVIE_2763,NVIE_RS12905,exported protein of unknown function,-0.1,4.09E-01,532.01,700.11,9.05,9.45,76G-FAM009886,Thaumi_prot_LH_FAM003843,N,Y,NV,NV,276
NVIE_025140,NVIE_RS12010,putative ferredoxin-dependent sulfite reductase,-0.1,4.90E-01,457.58,603.53,8.83,9.23,76G-FAM007454,Thaumi_prot_LH_FAM000232,Y,Y,NV+NF+NM,NV+NF+NM,318
NVIE_028900,NVIE_RS13805,exported protein of unknown function,-0.1,3.93E-01,53.63,70.57,5.74,6.14,76G-FAM035429,Thaumi_prot_LH_FAM008780,N,Y,NV,NV,1746
NVIE_023810,NVIE_RS11400,putative 4Fe-4S ferredoxin iron-sulfur binding domain protein,-0.1,4.11E-01,1763.85,2322.3,10.78,11.17,76G-FAM000562_0,Thaumi_prot_LH_FAM000965,Y,N,NV+NF+NM,NV+NF+NM,58
NVIE_010390,NVIE_RS14770,protein of unknown function,-0.1,7.56E-01,14.47,19.04,3.77,4.25,#N/A,Thaumi_prot_LH_FAM008517,#N/A,#N/A,NA,NV,2527
NVIE_027680,NVIE_RS13240,membrane protein of unknown function,-0.1,5.88E-01,27.5,36.21,4.77,5.17,76G-FAM035419,Thaumi_prot_LH_FAM008769,N,Y,NV,NV,2185
NVIE_016490,NVIE_RS08020,N-acetyl-gamma-glutamyl-phosphate/N-acetyl- gamma-aminoadipyl-phosphate reductase,-0.1,4.03E-01,842.79,1111.8,9.72,10.12,76G-FAM000337,Thaumi_prot_LH_FAM000645,N,N,NV+NF+NM,NV+NF+NM,145
NVIE_027370,NVIE_RS13105,putative tRNA (guanine-N(7)-)-methyltransferase,-0.1,4.96E-01,181.41,239.73,7.49,7.9,76G-FAM009895,Thaumi_prot_LH_FAM003085,N,Y,NV+NF,NV+NF,785
NVIE_2113,#N/A,protein of unknown function,-0.1,9.51E-01,0.78,1.03,#NUM!,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3113
NVIE_028920,NVIE_RS13815,protein of unknown function,-0.1,7.45E-01,40.65,53.55,5.25,5.67,76G-FAM035431,Thaumi_prot_LH_FAM008782,N,Y,NV,NV,1932
NVIE_011710,NVIE_RS05660,putative TldD/pmbA family protein,-0.11,4.48E-01,180.54,239.32,7.49,7.89,76G-FAM004896,Thaumi_prot_LH_FAM002767,N,N,NV,NV,791
NVIE_t0210,NVIE_RS07375,tRNA-Phe,-0.11,5.87E-01,86.6,113.54,6.41,6.82,#N/A,#N/A,#N/A,#N/A,NA,#N/A,1393
NVIE_005530,NVIE_RS02715,putative inorganic polyphosphate/ATP-NAD kinase,-0.11,4.83E-01,145.61,192.43,7.17,7.59,76G-FAM000985,Thaumi_prot_LH_FAM000684,N,Y,NV+NF+NM,NV+NF+NM,953
NVIE_017430,NVIE_RS08485,putative cysteine synthase,-0.11,3.44E-01,256.55,338.2,8,8.4,76G-FAM003778,Thaumi_prot_LH_FAM000061,N,N,NV+NM,NV+NM,560
NVIE_010240,NVIE_RS04975,putative integrase family protein,-0.11,7.10E-01,2.04,2.69,1,1.39,76G-FAM002266,Thaumi_prot_LH_FAM001759,N,N,NV,NV,3030
NVIE_015990,NVIE_RS07765,FO synthase subunit 2,-0.11,4.42E-01,150.99,199.44,7.23,7.64,76G-FAM004894_0,Thaumi_prot_LH_FAM000117,Y,N,NV+NF+NM,NV+NF+NM,929
NVIE_013200,NVIE_RS06385,nicotinamide-nucleotide adenylyltransferase,-0.11,3.10E-01,180.4,238.01,7.49,7.89,76G-FAM000836_0,Thaumi_prot_LH_FAM000759,Y,N,NV+NF+NM,NV+NF+NM,793
NVIE_015080,NVIE_RS07320,phosphoribosylglycinamide formyltransferase,-0.11,4.65E-01,79.87,105.59,6.31,6.72,76G-FAM002054,Thaumi_prot_LH_FAM000079,Y,N,NV+NF+NM,NV+NF+NM,1448
NVIE_013770,NVIE_RS06685,conserved hypothetical protein,-0.11,4.61E-01,163.78,216.68,7.34,7.75,76G-FAM000938,Thaumi_prot_LH_FAM000871,N,N,NV+NF+NM,NV+NF+NM,873
NVIE_025640,NVIE_RS12265,protein of unknown function,-0.11,6.44E-01,6.28,8.26,2.59,3.04,76G-FAM035371,Thaumi_prot_LH_FAM008712,N,Y,NV,NV,2826
NVIE_021920,NVIE_RS10540,hypothetical protein,-0.11,3.10E-01,110.13,145.83,6.78,7.19,76G-FAM010414,Thaumi_prot_LH_FAM003218,N,Y,NV,NV,1185
NVIE_028420,NVIE_RS13570,putative metal dependent phosphohydrolase,-0.11,4.40E-01,48.45,64.19,5.6,6,76G-FAM006506,Thaumi_prot_LH_FAM001298,N,Y,NV+NM,NV+NM,1814
NVIE_017610,NVIE_RS08575,ABC transporter-related RNase L inhibitor,-0.11,4.02E-01,127.25,168.35,6.98,7.39,76G-FAM000813,Thaumi_prot_LH_FAM000947,Y,N,NV+NF+NM,NV+NF+NM,1054
NVIE_004040,#N/A,protein of unknown function,-0.11,9.30E-01,0.87,1.14,-0.59,#NUM!,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3105
NVIE_000340,NVIE_RS00170,thiosulfate sulfurtransferase,-0.11,2.96E-01,356.67,472.89,8.48,8.88,76G-FAM001528_0,Thaumi_prot_LH_FAM000233_0,Y,N,NV+NF+NM,NV+NF+NM,420
NVIE_1722,NVIE_RS08180,hypothetical protein,-0.11,8.33E-01,4.53,5.92,2.01,2.46,76G-FAM008809,Thaumi_prot_LH_FAM001233,N,Y,NV,NV,2896
NVIE_005260,NVIE_RS02575,"putative transcriptional regulator, AsnC family",-0.11,5.28E-01,63.43,83.64,5.97,6.38,76G-FAM000103_0,Thaumi_prot_LH_FAM002903,Y,N,NV+NF+NM,NV,1632
NVIE_023320,NVIE_RS11185,hypothetical protein,-0.11,4.06E-01,448.5,594.24,8.8,9.21,76G-FAM000236,Thaumi_prot_LH_FAM001164,N,N,NV+NF+NM,NV+NF+NM,326
NVIE_000700,NVIE_RS00350,putative D-tyrosyl-tRNA(Tyr) deacylase,-0.11,5.88E-01,22.4,29.82,4.47,4.87,76G-FAM000409,Thaumi_prot_LH_FAM000218,Y,N,NV+NF+NM,NV+NF+NM,2305
NVIE_007290,#N/A,conserved protein of unknown function,-0.11,5.23E-01,107.14,141.45,6.72,7.14,#N/A,#N/A,#N/A,#N/A,NA,#N/A,1200
NVIE_005770,NVIE_RS02830,shikimate kinase,-0.11,4.41E-01,59.21,78.55,5.88,6.28,76G-FAM000482,Thaumi_prot_LH_FAM000122,N,N,NV+NF+NM,NV+NF+NM,1685
NVIE_012680,NVIE_RS06140,alkyl hydroperoxide reductase/ thiol specific antioxidant family protein,-0.11,6.61E-01,6.13,8.02,2.56,3,76G-FAM011507,Thaumi_prot_LH_FAM002961,N,Y,NV,NV,2831
NVIE_024330,NVIE_RS11660,putative aminotransferase class I and II,-0.11,4.08E-01,59.73,79.4,5.89,6.3,76G-FAM005078,Thaumi_prot_LH_FAM001154,N,Y,NV+NF+NM,NV+NF+NM,1678
NVIE_026230,NVIE_RS12530,protein of unknown function,-0.11,3.65E-01,116.48,154.36,6.86,7.26,76G-FAM009751,Thaumi_prot_LH_FAM002509,N,Y,NV+NF,NV+NF,1123
NVIE_002430,NVIE_RS01190,hypothetical protein,-0.11,5.10E-01,142.95,189.48,7.16,7.55,76G-FAM002488,Thaumi_prot_LH_FAM001776,N,N,NV,NV,968
NVIE_007940,NVIE_RS03875,putative NUDIX hydrolase,-0.11,4.72E-01,25.08,33.14,4.63,5.04,76G-FAM000953,Thaumi_prot_LH_FAM000817,N,N,NV+NF+NM,NV+NF+NM,2240
NVIE_030020,NVIE_RS14365,alanine--tRNA ligase,-0.11,4.91E-01,170.79,226.96,7.4,7.81,76G-FAM000638,Thaumi_prot_LH_FAM000674,Y,N,NV+NF+NM,NV+NF+NM,839
NVIE_023600,NVIE_RS11310,protein of unknown function,-0.11,6.35E-01,13.56,18.05,3.75,4.14,76G-FAM035341,Thaumi_prot_LH_FAM008671,N,Y,NV,NV,2552
NVIE_001280,NVIE_RS00625,protein of unknown function,-0.11,2.74E-01,50.46,66.9,5.65,6.06,76G-FAM035140,Thaumi_prot_LH_FAM008432,N,Y,NV,NV,1788
NVIE_026300,NVIE_RS12565,protein of unknown function DUF2024,-0.11,2.04E-01,652.08,863.96,9.35,9.75,76G-FAM007422,Thaumi_prot_LH_FAM000535,Y,Y,NV+NF+NM,NV+NF+NM,204
NVIE_021460,NVIE_RS10315,hypothetical protein,-0.11,2.82E-01,65.86,87.24,6.04,6.45,76G-FAM004268,Thaumi_prot_LH_FAM002761,N,N,NV,NV,1603
NVIE_008520,NVIE_RS14535,Putative lipoprotein (modular protein),-0.11,4.15E-01,20.36,26.91,4.33,4.74,76G-FAM009778,Thaumi_prot_LH_FAM003592,N,Y,NV,NV,2361
NVIE_007460,NVIE_RS03620,3-isopropylmalate dehydratase small subunit,-0.11,2.84E-01,108.76,144.33,6.76,7.17,76G-FAM000987_0,Thaumi_prot_LH_FAM000824,Y,N,NV+NF+NM,NV+NF+NM,1191
NVIE_002690,NVIE_RS01305,argininosuccinate lyase,-0.12,3.19E-01,117.06,155.98,6.87,7.28,76G-FAM000343,Thaumi_prot_LH_FAM000948,Y,N,NV+NF+NM,NV+NF+NM,1118
NVIE_015170,NVIE_RS07380,adenylosuccinate lyase,-0.12,4.28E-01,76.56,101.95,6.25,6.66,76G-FAM000205,Thaumi_prot_LH_FAM000586,N,N,NV+NF+NM,NV+NF+NM,1480
NVIE_010510,NVIE_RS05100,Six-hairpin glycosidase-like protein,-0.12,2.36E-01,76.55,101.71,6.25,6.67,76G-FAM001460,Thaumi_prot_LH_FAM000336,Y,N,NV+NF+NM,NV+NF+NM,1481
NVIE_013390,NVIE_RS06475,hypothetical protein,-0.12,4.41E-01,36.79,49.25,5.2,5.61,76G-FAM010285,Thaumi_prot_LH_FAM003095,N,Y,NV,NV,2000
NVIE_1688,NVIE_RS08015,acetylglutamate/acetylaminoadipate kinase,-0.12,3.66E-01,312.35,415.81,8.28,8.7,76G-FAM000339,Thaumi_prot_LH_FAM000646,Y,N,NV+NF+NM,NV+NF+NM,472
NVIE_019530,NVIE_RS09430,conserved protein of unknown function,-0.12,6.14E-01,17.52,23.19,4.1,4.53,76G-FAM009852,Thaumi_prot_LH_FAM002511,N,Y,NV+NF,NV+NF,2426
NVIE_006660,NVIE_RS03245,protein of unknown function,-0.12,4.35E-01,68.03,90.64,6.07,6.5,76G-FAM008252,Thaumi_prot_LH_FAM000164,N,Y,NV+NM,NV+NM,1573
NVIE_022000,NVIE_RS10580,hypothetical protein,-0.12,5.33E-01,10.33,13.69,3.35,3.76,76G-FAM010117,Thaumi_prot_LH_FAM002860,N,Y,NV,NV,2662
NVIE_007750,NVIE_RS03775,putative phosphosugar isomerase,-0.12,6.45E-01,70.48,94.07,6.07,6.52,76G-FAM004880,Thaumi_prot_LH_FAM000497,N,N,NV+NM,NV+NM,1553
NVIE_002500,NVIE_RS01215,putative alpha/beta hydrolase fold protein,-0.12,4.96E-01,220.5,295.27,7.77,8.19,76G-FAM003384,Thaumi_prot_LH_FAM000718,N,N,NV+NF+NM,NV+NF+NM,652
NVIE_023300,NVIE_RS11175,GMP synthase,-0.12,3.03E-01,245.18,327.55,7.93,8.35,76G-FAM000961,Thaumi_prot_LH_FAM001162,N,N,NV+NF+NM,NV+NF+NM,595
NVIE_009000,NVIE_RS04400,protein of unknown function,-0.12,4.51E-01,16.58,22,4.04,4.45,76G-FAM035202,Thaumi_prot_LH_FAM008493,N,Y,NV,NV,2458
NVIE_007410,NVIE_RS03590,"putative signal transduction response regulator, receiver domain",-0.12,6.24E-01,10.6,13.99,3.35,3.79,76G-FAM003595_0,Thaumi_prot_LH_FAM001253_0,N,N,NV+NF+NM,NV+NF+NM,2654
NVIE_010800,NVIE_RS05225,cupin domain-containing protein,-0.12,6.80E-01,9.88,13.18,3.25,3.7,76G-FAM007467,Thaumi_prot_LH_FAM001420,Y,Y,NV+NF+NM,NV+NM,2677
NVIE_012260,NVIE_RS05935,putative Holliday junction resolvase,-0.12,5.50E-01,60.03,79.83,5.86,6.31,76G-FAM007809,Thaumi_prot_LH_FAM000382,Y,Y,NV+NF+NM,NV+NF+NM,1673
NVIE_019270,NVIE_RS09340,protein of unknown function,-0.12,6.81E-01,7.71,10.27,2.94,3.31,76G-FAM009766,Thaumi_prot_LH_FAM003747,N,Y,NV,NV,2764
NVIE_018050,NVIE_RS08780,D-glucuronyl C5-epimerase,-0.12,5.87E-01,3.08,4.08,1.59,2.02,76G-FAM009717,Thaumi_prot_LH_FAM003729,N,Y,NV,NV,2974
NVIE_019500,NVIE_RS09415,DedA family protein,-0.12,5.41E-01,7.17,9.61,2.83,3.26,76G-FAM008426,Thaumi_prot_LH_FAM001391,N,Y,NV,NV,2783
NVIE_004780,NVIE_RS02325,threonine synthase,-0.12,3.03E-01,240.62,320.73,7.9,8.32,76G-FAM000062_0,Thaumi_prot_LH_FAM000354,Y,N,NV+NF+NM,NV+NF+NM,606
NVIE_003750,NVIE_RS01825,"DNA-directed RNA polymerase, subunit E``",-0.12,3.82E-01,179.15,237.58,7.46,7.89,76G-FAM000424,Thaumi_prot_LH_FAM000528,N,N,NV+NF+NM,NV+NF+NM,802
NVIE_002460,NVIE_RS01200,8-oxoguanine DNA glycosylase,-0.12,3.57E-01,62.86,84.01,5.96,6.39,76G-FAM002456,Thaumi_prot_LH_FAM000916,Y,N,NV+NF+NM,NV+NF+NM,1641
NVIE_017670,NVIE_RS15415,ribulose-phosphate 3-epimerase protein with N-terminal transketolase domain,-0.13,4.93E-01,456.3,610.02,8.8,9.24,#N/A,Thaumi_prot_LH_FAM000055,#N/A,#N/A,NA,NV+NF+NM,322
NVIE_027780,NVIE_RS13285,hypothetical protein,-0.13,1.42E-01,350.29,468.85,8.45,8.87,76G-FAM009904,Thaumi_prot_LH_FAM003096,N,Y,NV,NV,426
NVIE_019670,NVIE_RS09475,conserved protein of unknown function,-0.13,5.25E-01,35.47,47.43,5.12,5.55,76G-FAM009751,Thaumi_prot_LH_FAM002509,N,Y,NV+NF,NV+NF,2014
NVIE_006030,NVIE_RS02950,protein of unknown function,-0.13,2.33E-01,285.31,381.32,8.15,8.57,76G-FAM035171,Thaumi_prot_LH_FAM008463,N,Y,NV,NV,512
NVIE_028670,NVIE_RS13690,HPP family protein (modular protein),-0.13,5.78E-01,101.8,136.91,6.63,7.06,76G-FAM035424,Thaumi_prot_LH_FAM003860,N,Y,NV,NV,1251
NVIE_003220,NVIE_RS01575,DedA family protein,-0.13,1.65E-01,100.32,134.21,6.65,7.07,76G-FAM000250,Thaumi_prot_LH_FAM000392,N,N,NV+NF+NM,NV+NF+NM,1262
NVIE_022400,NVIE_RS10770,hypothetical protein,-0.13,2.55E-01,187.87,251.26,7.55,7.97,76G-FAM001401,Thaumi_prot_LH_FAM000599,N,Y,NV,NV,758
NVIE_005380,NVIE_RS02635,"putative glyceraldehyde-3-phosphate dehydrogenase, phosphorylating",-0.13,1.61E-01,175.63,235.18,7.45,7.88,76G-FAM001542,Thaumi_prot_LH_FAM000537,N,N,NV+NF+NM,NV+NF+NM,817
NVIE_0759,NVIE_RS03615,putative amidophosphoribosyltransferase,-0.13,2.66E-01,173.24,233.15,7.43,7.86,76G-FAM010199,Thaumi_prot_LH_FAM002850,N,Y,NV+NF,NV+NF,832
NVIE_012760,NVIE_RS06190,putative endonuclease III,-0.13,3.62E-01,117.38,157.49,6.86,7.3,76G-FAM000521,Thaumi_prot_LH_FAM001089,N,N,NV+NF+NM,NV+NF+NM,1116
NVIE_027010,NVIE_RS12915,protein of unknown function,-0.13,3.42E-01,66.9,90.03,6.06,6.49,76G-FAM009533,Thaumi_prot_LH_FAM002859,N,Y,NV+NF,NV+NF,1590
NVIE_011590,NVIE_RS05595,NADH-quinone oxidoreductase subunit L,-0.13,4.15E-01,514.27,691.97,8.99,9.43,76G-FAM000052,Thaumi_prot_LH_FAM000936,Y,N,NV+NF+NM,NV+NF+NM,288
NVIE_026200,NVIE_RS15620,conserved protein of unknown function,-0.13,7.28E-01,11.63,15.69,3.42,3.96,#N/A,Thaumi_prot_LH_FAM003836,#N/A,#N/A,NA,NV,2626
NVIE_003710,NVIE_RS01805,30S ribosomal protein S30e,-0.13,6.76E-01,14.39,19.03,3.8,4.2,76G-FAM000204,Thaumi_prot_LH_FAM000363,Y,N,NV+NF+NM,NV+NF+NM,2530
NVIE_0735,#N/A,hypothetical protein,-0.13,8.95E-01,2.19,2.92,#NUM!,1.29,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3018
NVIE_013310,NVIE_RS06435,hypothetical protein,-0.13,3.72E-01,93.97,126.29,6.55,6.97,76G-FAM000370,Thaumi_prot_LH_FAM002693,N,N,NV+NF,NV+NF,1322
NVIE_009760,NVIE_RS04755,putative protein of unknown function DUF192,-0.13,2.30E-01,183.16,245.78,7.51,7.94,76G-FAM001026,Thaumi_prot_LH_FAM000641,Y,N,NV+NF+NM,NV+NF+NM,777
NVIE_006110,NVIE_RS02995,mannosyl-3-phosphoglycerate synthase,-0.13,1.62E-01,277.79,373.55,8.12,8.54,76G-FAM006285,Thaumi_prot_LH_FAM002877,N,Y,NV+NF,NV+NF,522
NVIE_022230,NVIE_RS10690,"proteasome, subunit alpha",-0.13,4.14E-01,100.51,136.55,6.64,7.08,76G-FAM000513_0,Thaumi_prot_LH_FAM000101,Y,N,NV+NF+NM,NV+NF+NM,1260
NVIE_026250,NVIE_RS12540,Deoxyribonuclease/rho motif related TRAM protein,-0.13,5.28E-01,515.98,686.36,8.94,9.42,76G-FAM002411,Thaumi_prot_LH_FAM001622,N,N,NV+NF,NV+NF,286
NVIE_020540,NVIE_RS09870,DNA polymerase II large subunit,-0.13,3.16E-01,99.04,133.69,6.62,7.06,76G-FAM000215,Thaumi_prot_LH_FAM001032,N,N,NV+NF+NM,NV+NF+NM,1270
NVIE_016620,NVIE_RS08080,translation initiation factor 1a (IF-1),-0.14,1.70E-01,178.08,239.95,7.48,7.9,76G-FAM000703,Thaumi_prot_LH_FAM000421,Y,N,NV+NF+NM,NV+NF+NM,807
NVIE_022980,NVIE_RS11015,conserved protein of unknown function,-0.14,2.04E-01,586.85,789.2,9.19,9.62,76G-FAM004392,Thaumi_prot_LH_FAM003792,N,N,NV,NV,234
NVIE_017300,NVIE_RS08415,"putative CRISPR-associated exonuclease, Cas4 family",-0.14,5.18E-01,5.8,7.78,2.52,2.95,76G-FAM010243,Thaumi_prot_LH_FAM003711,N,Y,NV,NV,2842
NVIE_024000,#N/A,putative thioredoxin (modular protein),-0.14,1.54E-01,229.56,309.66,7.84,8.27,#N/A,#N/A,#N/A,#N/A,NA,#N/A,635
NVIE_019900,NVIE_RS09575,protein of unknown function,-0.14,4.06E-01,71.85,96.45,6.14,6.58,76G-FAM009796,Thaumi_prot_LH_FAM003750,N,Y,NV+NF,NV+NF,1536
NVIE_011500,NVIE_RS05560,TENA/THI-4/PqqC family protein,-0.14,3.43E-01,720.73,975.94,9.49,9.93,76G-FAM004387,Thaumi_prot_LH_FAM000939,N,N,NV+NF+NM,NV+NF+NM,189
NVIE_025270,NVIE_RS12080,oligosaccharyl transferase STT3,-0.14,2.12E-01,532.86,719.02,9.05,9.49,76G-FAM002599,Thaumi_prot_LH_FAM001113,N,N,NV+NF+NM,NV+NF+NM,275
NVIE_028470,#N/A,conserved protein of unknown function,-0.14,3.42E-01,556.9,754.44,9.11,9.56,#N/A,#N/A,#N/A,#N/A,NA,#N/A,257
NVIE_0887,NVIE_RS04225,hypothetical protein,-0.14,5.86E-01,12.21,16.39,3.58,4,76G-FAM000673,Thaumi_prot_LH_FAM000416,N,N,NV+NM,NV+NM,2605
NVIE_023960,NVIE_RS11470,"translation initiation factor 2, subunit beta",-0.14,2.00E-01,781.1,1059.83,9.61,10.05,76G-FAM000891,Thaumi_prot_LH_FAM000447,Y,N,NV+NF+NM,NV+NF+NM,167
NVIE_017560,NVIE_RS08550,putative ribosomal-protein-alanine acetyltransferase,-0.14,3.65E-01,86.62,116.66,6.41,6.86,76G-FAM000651,Thaumi_prot_LH_FAM000944,Y,N,NV+NF+NM,NV+NF+NM,1392
NVIE_002490,NVIE_RS01210,hypothetical protein,-0.14,2.75E-01,203.32,273.71,7.65,8.1,76G-FAM007444,Thaumi_prot_LH_FAM000719,N,Y,NV+NF+NM,NV+NF+NM,705
NVIE_006990,NVIE_RS03390,Chromosome segregation and condensation protein ScpB,-0.14,2.61E-01,185.26,250.94,7.53,7.96,76G-FAM000275,Thaumi_prot_LH_FAM000774,Y,N,NV+NF+NM,NV+NF+NM,767
NVIE_015640,#N/A,protein of unknown function,-0.14,5.26E-01,30.55,41.51,4.91,5.35,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2118
NVIE_004640,NVIE_RS02250,protein of unknown function,-0.14,3.74E-01,15.04,20.31,3.9,4.33,76G-FAM035162,Thaumi_prot_LH_FAM008455,N,Y,NV,NV,2511
NVIE_012830,NVIE_RS06230,protein of unknown function,-0.14,4.54E-01,33.24,45.44,5.04,5.48,76G-FAM035251,Thaumi_prot_LH_FAM008544,N,Y,NV,NV,2067
NVIE_018860,NVIE_RS09190,exported protein of unknown function,-0.14,3.06E-01,8.81,11.93,3.13,3.57,76G-FAM009772,Thaumi_prot_LH_FAM003685,N,Y,NV,NV,2716
NVIE_003230,NVIE_RS01580,hypothetical protein,-0.14,2.04E-01,102.14,138.55,6.67,7.11,76G-FAM007642,Thaumi_prot_LH_FAM000196,Y,Y,NV+NF+NM,NV+NF+NM,1246
NVIE_015790,NVIE_RS07670,putative antibiotic biosynthesis monooxygenase (modular protein),-0.15,4.72E-01,13.19,17.76,3.69,4.15,76G-FAM009659,Thaumi_prot_LH_FAM002708,N,Y,NV+NF,NV+NF,2563
NVIE_012820,NVIE_RS06225,protein of unknown function,-0.15,3.08E-01,53.72,73.13,5.74,6.19,76G-FAM035250,Thaumi_prot_LH_FAM008543,N,Y,NV,NV,1745
